Celsius, Fahrenheit, Humidity
8.9,48.02,76.541811205247
8.9,48.02,73.402721805054
9.0,48.2,70.893920717172
8.3,46.94,76.443291612891
8.3,46.94,73.810201907473
8.0,46.4,75.859700794654
8.0,46.4,75.859700794654
8.3,46.94,73.810201907473
8.0,46.4,75.859700794654
7.2,44.96,85.913626837241
7.2,44.96,89.56964455156
7.2,44.96,92.720676321386
7.8,46.04,89.000869667825
8.3,46.94,86.028130972357
9.0,48.2,87.289209441366
9.0,48.2,81.486420017859
9.0,48.2,81.486420017859
9.4,48.92,74.00710179304
10.0,50.0,71.088489426375
10.6,51.08,65.496980088065
11.7,53.06,58.793154717635
11.7,53.06,54.402421181059
10.6,51.08,60.62463480095
11.7,53.06,56.36085975426
9.4,48.92,65.69233300022
8.9,48.02,67.942265381454
8.3,46.94,68.297979771867
8.3,46.94,68.297979771867
6.7,44.06,76.177698516495
6.7,44.06,78.920027625265
7.0,44.6,75.690542144641
6.7,44.06,78.920027625265
6.7,44.06,72.99849708106
6.7,44.06,76.177698516495
6.7,44.06,76.177698516495
6.7,44.06,76.177698516495
6.7,44.06,76.177698516495
6.7,44.06,76.177698516495
7.0,44.6,75.690542144641
6.7,44.06,76.177698516495
5.6,42.08,91.984495702735
,,
5.6,42.08,91.984495702735
6.0,42.8,87.000902360951
6.0,42.8,93.300460393223
6.7,44.06,82.325880313448
7.8,46.04,73.201672074915
7.0,44.6,75.690542144641
8.9,48.02,67.942265381454
8.9,48.02,73.402721805054
11.1,51.98,58.64338077836
10.6,51.08,56.07584487389
11.7,53.06,52.131989560281
11.1,51.98,54.243248379225
10.6,51.08,54.110084017545
8.3,46.94,63.153338156808
7.2,44.96,70.539119120885
6.7,44.06,72.99849708106
5.6,42.08,85.141734043766
3.9,39.02,88.67016884985
3.3,37.94,92.496796158864
3.9,39.02,92.531896684803
4.4,39.92,92.560961924407
3.3,37.94,92.496796158864
3.3,37.94,92.496796158864
3.9,39.02,92.531896684803
4.0,39.2,93.195121939331
4.4,39.92,92.560961924407
4.0,39.2,93.195121939331
4.0,39.2,93.195121939331
5.0,41.0,86.902676258922
5.0,41.0,92.59561987308
6.7,44.06,82.325880313448
8.0,46.4,75.859700794654
8.3,46.94,73.810201907473
9.0,48.2,70.893920717172
8.9,48.02,67.942265381454
10.6,51.08,65.496980088065
11.1,51.98,58.64338077836
11.1,51.98,58.64338077836
11.7,53.06,52.131989560281
11.7,53.06,52.131989560281
11.1,51.98,54.243248379225
11.1,51.98,54.243248379225
10.0,50.0,63.101629529279
9.4,48.92,70.971964459347
8.9,48.02,73.402721805054
8.9,48.02,73.402721805054
8.0,46.4,81.352547127259
8.3,46.94,79.712411892316
7.2,44.96,92.720676321386
6.7,44.06,82.325880313448
6.1,42.980000000000004,92.658542027292
6.0,42.8,93.300460393223
6.1,42.980000000000004,88.858482392758
5.0,41.0,93.248095448059
5.0,41.0,93.248095448059
,,
,,
5.0,41.0,93.248095448059
6.0,42.8,93.300460393223
7.2,44.96,89.56964455156
7.8,46.04,82.466908225817
9.0,48.2,81.486420017859
9.4,48.92,68.527334655366
10.0,50.0,71.088489426375
,,
10.6,51.08,63.240936158413
11.7,53.06,60.890529422424
12.8,55.04,56.643564028212
,,
12.2,53.96,54.534546384907
